RAW,DATA TAG,PRICE,PRICE_UNIT,CLEANED TAG,TYPE,LOC,ALL AREA,AREA,TERRAIN,DISPONIBL MAINTEN,NEUF,CHAMBRE,PIECE,FLOOR,FLOORS
"Appartement à vendre - Paris 1er - 560 000 € - 2 pièces, 1 chambre, 45 m², Étage 5/6","['APPART A VENDR', 'PARIS 1ER', '2 PIEC', '1 CHAMBR', '45 M²', 'ETAG 5/6']",560000.0,EUR,"('APPART A VENDR', 'PARIS', 'PIEC', 'CHAMBR', 'M²', 'ETAG')",APPART A VENDR,75001,['45 M²'],45.0,0.0,0,0,1,2,5,6
"Appartement à vendre - Paris 12ème - 849 000 € - 4 pièces, 2 chambres, 83,5 m², Étage 1/7","['APPART A VENDR', 'PARIS 12EM', '4 PIEC', '2 CHAMBR', '83.5 M²', 'ETAG 1/7']",849000.0,EUR,"('APPART A VENDR', 'PARIS', 'PIEC', 'CHAMBR', 'M²', 'ETAG')",APPART A VENDR,75012,['83.5 M²'],83.5,0.0,0,0,2,4,1,7
"Appartement à vendre - Paris 18ème - 1 550 000 € - 5 pièces, 4 chambres, 191,9 m², RDC/1","['APPART A VENDR', 'PARIS 18EM', '5 PIEC', '4 CHAMBR', '191.9 M²', 'RDC/1']",1550000.0,EUR,"('APPART A VENDR', 'PARIS', 'PIEC', 'CHAMBR', 'M²', 'RDC')",APPART A VENDR,75018,['191.9 M²'],191.9,0.0,0,0,4,5,0,1
"Appartement à vendre - Paris 5ème - 620 000 € - 3 pièces, 2 chambres, 51 m², Étage 1/6","['APPART A VENDR', 'PARIS 5EM', '3 PIEC', '2 CHAMBR', '51 M²', 'ETAG 1/6']",620000.0,EUR,"('APPART A VENDR', 'PARIS', 'PIEC', 'CHAMBR', 'M²', 'ETAG')",APPART A VENDR,75005,['51 M²'],51.0,0.0,0,0,2,3,1,6
"Duplex à vendre - Paris 16ème - 1 595 000 € - 6 pièces, 4 chambres, 137 m², Étage 3/4","['DUPLEX A VENDR', 'PARIS 16EM', '6 PIEC', '4 CHAMBR', '137 M²', 'ETAG 3/4']",1595000.0,EUR,"('DUPLEX A VENDR', 'PARIS', 'PIEC', 'CHAMBR', 'M²', 'ETAG')",DUPLEX A VENDR,75016,['137 M²'],137.0,0.0,0,0,4,6,3,4
"Appartement à vendre - Paris 16ème - 1 180 000 € - 4 pièces, 2 chambres, 109 m², Étage 2/7","['APPART A VENDR', 'PARIS 16EM', '4 PIEC', '2 CHAMBR', '109 M²', 'ETAG 2/7']",1180000.0,EUR,"('APPART A VENDR', 'PARIS', 'PIEC', 'CHAMBR', 'M²', 'ETAG')",APPART A VENDR,75016,['109 M²'],109.0,0.0,0,0,2,4,2,7
"Appartement à vendre - Paris 18ème - 388 900 € - 2 pièces, 1 chambre, 44 m², Étage 1/3","['APPART A VENDR', 'PARIS 18EM', '2 PIEC', '1 CHAMBR', '44 M²', 'ETAG 1/3']",388900.0,EUR,"('APPART A VENDR', 'PARIS', 'PIEC', 'CHAMBR', 'M²', 'ETAG')",APPART A VENDR,75018,['44 M²'],44.0,0.0,0,0,1,2,1,3
"Appartement à vendre - Paris 5ème - 668 900 € - 2 pièces, 1 chambre, 55 m², Étage 6/8","['APPART A VENDR', 'PARIS 5EM', '2 PIEC', '1 CHAMBR', '55 M²', 'ETAG 6/8']",668900.0,EUR,"('APPART A VENDR', 'PARIS', 'PIEC', 'CHAMBR', 'M²', 'ETAG')",APPART A VENDR,75005,['55 M²'],55.0,0.0,0,0,1,2,6,8
"Appartement à vendre - Paris 13ème - 469 000 € - 2 pièces, 1 chambre, 52 m², Étage 1/6","['APPART A VENDR', 'PARIS 13EM', '2 PIEC', '1 CHAMBR', '52 M²', 'ETAG 1/6']",469000.0,EUR,"('APPART A VENDR', 'PARIS', 'PIEC', 'CHAMBR', 'M²', 'ETAG')",APPART A VENDR,75013,['52 M²'],52.0,0.0,0,0,1,2,1,6
"Appartement à vendre - Paris 12ème - 1 400 000 € - 4 pièces, 3 chambres, 101,5 m², Étage 4/9","['APPART A VENDR', 'PARIS 12EM', '4 PIEC', '3 CHAMBR', '101.5 M²', 'ETAG 4/9']",1400000.0,EUR,"('APPART A VENDR', 'PARIS', 'PIEC', 'CHAMBR', 'M²', 'ETAG')",APPART A VENDR,75012,['101.5 M²'],101.5,0.0,0,0,3,4,4,9
